Frame,X,Y,W,H,Class,Age,Gender
1,818,213,69,181,person,(38-43),Male
1,714,216,65,176,person,(38-43),Male
1,675,209,45,145,person,(25-32),Male
1,597,209,49,154,person,(60-100),Female
2,819,213,68,182,person,(38-43),Male
2,714,216,65,175,person,(38-43),Male
2,676,209,46,145,person,(25-32),Male
2,597,209,49,154,person,(60-100),Female
3,819,213,68,182,person,(38-43),Male
3,715,216,66,176,person,(38-43),Male
3,675,209,45,146,person,(38-43),Male
3,597,209,49,154,person,(60-100),Female
4,819,212,68,183,person,(38-43),Male
4,717,217,68,179,person,(38-43),Male
4,676,209,46,144,person,(38-43),Male
4,597,209,49,154,person,(60-100),Female
5,819,213,68,182,person,(38-43),Male
5,723,216,65,177,person,(38-43),Male
5,677,210,46,147,person,(25-32),Male
5,598,209,48,154,person,(60-100),Female
6,819,212,68,183,person,(38-43),Male
6,676,210,48,146,person,(38-43),Male
6,727,217,65,175,person,(38-43),Male
6,598,209,48,154,person,(60-100),Female
7,818,211,69,186,person,(38-43),Male
7,675,210,48,146,person,(38-43),Male
7,732,217,82,175,person,(25-32),Male
7,598,209,48,154,person,(60-100),Female
8,818,211,69,186,person,(38-43),Male
8,675,210,48,146,person,(38-43),Male
8,732,217,83,175,person,(25-32),Male
8,598,209,47,154,person,(60-100),Female
9,818,211,69,186,person,(38-43),Male
9,675,210,48,146,person,(38-43),Male
9,733,217,82,175,person,(25-32),Male
9,598,209,47,154,person,(60-100),Female
10,818,211,69,186,person,(38-43),Male
10,675,210,48,146,person,(38-43),Male
10,733,218,83,174,person,(25-32),Male
10,598,209,48,154,person,(60-100),Female
11,733,217,84,175,person,(25-32),Male
11,818,211,69,186,person,(38-43),Male
11,675,210,47,146,person,(38-43),Male
11,598,209,48,154,person,(60-100),Female
12,819,213,69,182,person,(38-43),Male
12,733,217,83,176,person,(25-32),Male
12,675,210,47,146,person,(38-43),Male
12,598,209,48,154,person,(60-100),Female
13,819,213,69,181,person,(38-43),Male
13,733,217,83,176,person,(25-32),Male
13,675,210,47,146,person,(38-43),Male
13,598,209,48,154,person,(60-100),Female
14,819,214,69,180,person,(38-43),Male
14,733,217,83,176,person,(25-32),Male
14,675,209,47,147,person,(38-43),Male
14,596,209,50,154,person,(60-100),Female
15,675,209,47,147,person,(38-43),Male
15,819,213,69,181,person,(38-43),Male
15,734,217,82,176,person,(25-32),Male
15,596,208,51,155,person,(60-100),Female
16,675,210,47,146,person,(38-43),Male
16,819,211,70,186,person,(38-43),Male
16,732,217,83,176,person,(25-32),Male
16,599,207,43,155,person,(60-100),Female
17,675,210,47,146,person,(38-43),Male
17,732,217,83,176,person,(25-32),Male
17,820,212,71,183,person,(60-100),Male
17,593,208,47,154,person,(60-100),Female
18,675,210,47,146,person,(38-43),Male
18,733,217,84,176,person,(38-43),Male
18,820,215,71,177,person,(60-100),Female
18,593,207,48,154,person,(60-100),Female
19,675,210,47,146,person,(38-43),Male
19,732,217,83,175,person,(25-32),Male
19,818,217,69,174,person,(38-43),Male
19,589,208,54,152,person,(60-100),Female
19,854,216,36,145,person,(38-43),Male
20,675,210,47,146,person,(38-43),Male
20,732,217,83,175,person,(25-32),Male
20,818,217,69,174,person,(38-43),Male
20,589,208,54,152,person,(60-100),Female
20,854,216,36,145,person,(38-43),Male
21,732,217,82,175,person,(25-32),Male
21,675,210,47,146,person,(38-43),Male
21,818,216,68,176,person,(38-43),Female
21,587,207,58,154,person,(60-100),Female
21,850,203,52,173,person,(60-100),Male
22,676,209,47,147,person,(38-43),Male
22,735,217,89,175,person,(25-32),Male
22,586,207,60,154,person,(60-100),Female
22,820,214,71,179,person,(38-43),Male
23,676,209,47,146,person,(38-43),Male
23,732,217,82,176,person,(25-32),Male
23,586,207,60,154,person,(60-100),Female
23,820,215,71,178,person,(38-43),Male
24,677,209,46,146,person,(38-43),Male
24,735,217,86,175,person,(25-32),Male
24,586,208,59,152,person,(60-100),Female
24,820,215,71,178,person,(60-100),Male
25,677,210,46,146,person,(38-43),Male
25,724,216,68,177,person,(38-43),Male
25,821,214,72,179,person,(60-100),Male
25,587,208,58,151,person,(60-100),Female
26,586,208,60,153,person,(60-100),Female
26,821,214,71,179,person,(60-100),Male
26,707,215,63,174,person,(38-43),Male
26,671,209,38,141,person,(38-43),Male
27,585,208,59,153,person,(60-100),Female
27,821,214,71,179,person,(60-100),Male
27,671,209,38,141,person,(60-100),Male
27,708,215,62,175,person,(38-43),Male
28,820,215,71,178,person,(38-43),Male
28,586,206,60,155,person,(60-100),Female
28,704,215,71,177,person,(38-43),Male
28,668,209,36,140,person,(8-12),Male
29,697,218,81,181,person,(25-32),Male
29,585,206,59,155,person,(60-100),Female
29,821,216,72,178,person,(38-43),Male
29,664,208,34,141,person,(38-43),Male
30,688,219,74,180,person,(38-43),Male
30,586,207,59,153,person,(60-100),Female
30,811,216,51,175,person,(38-43),Male
30,841,204,47,177,person,(38-43),Female
31,688,219,75,181,person,(38-43),Male
31,586,207,59,153,person,(60-100),Female
31,811,216,53,175,person,(38-43),Male
31,841,204,47,177,person,(60-100),Female
32,691,219,78,181,person,(38-43),Male
32,805,216,57,176,person,(38-43),Male
32,586,207,59,153,person,(60-100),Female
32,841,206,48,176,person,(38-43),Female
33,693,218,78,181,person,(38-43),Male
33,809,216,66,178,person,(38-43),Male
33,587,208,58,152,person,(60-100),Female
33,841,204,47,176,person,(8-12),Male
34,700,217,81,181,person,(38-43),Male
34,814,216,68,176,person,(38-43),Male
34,587,208,59,153,person,(60-100),Female
34,843,205,47,178,person,(38-43),Male
34,851,211,29,163,person,(8-12),Male
35,701,217,80,180,person,(38-43),Male
35,815,216,70,179,person,(38-43),Male
35,587,208,59,153,person,(60-100),Female
35,844,206,46,178,person,(60-100),Male
36,826,213,76,187,person,(38-43),Male
36,587,208,59,153,person,(60-100),Female
36,710,217,80,180,person,(38-43),Male
36,677,207,37,144,person,(60-100),Male
37,588,208,57,154,person,(60-100),Female
37,821,214,71,181,person,(38-43),Male
37,706,217,81,177,person,(25-32),Male
37,678,206,36,141,person,(60-100),Male
37,721,217,54,178,person,(25-32),Male
37,721,165,53,77,person,(60-100),Female
38,822,214,70,181,person,(38-43),Male
38,588,208,56,153,person,(60-100),Female
38,707,217,80,177,person,(38-43),Male
38,678,207,36,142,person,(60-100),Male
38,720,217,55,179,person,(25-32),Male
38,721,166,54,76,person,(60-100),Female
39,821,214,71,181,person,(38-43),Male
39,587,208,57,152,person,(60-100),Female
39,707,217,81,178,person,(38-43),Male
39,678,207,36,142,person,(60-100),Male
39,720,217,55,178,person,(25-32),Male
39,721,166,54,78,person,(60-100),Female
40,821,213,70,183,person,(38-43),Male
40,587,208,57,153,person,(60-100),Female
40,706,216,82,179,person,(38-43),Male
40,719,218,56,180,person,(25-32),Male
40,677,206,36,140,person,(60-100),Male
41,826,214,71,186,person,(38-43),Male
41,703,216,86,179,person,(25-32),Male
41,587,208,57,151,person,(60-100),Female
41,677,207,37,145,person,(60-100),Male
42,695,218,92,178,person,(38-43),Male
42,826,211,74,189,person,(38-43),Male
42,589,209,53,150,person,(60-100),Female
43,694,217,92,178,person,(38-43),Male
43,823,213,71,184,person,(38-43),Male
43,590,208,52,151,person,(60-100),Female
44,825,212,75,185,person,(38-43),Male
44,691,219,71,180,person,(38-43),Male
44,591,208,50,151,person,(60-100),Female
44,741,178,11,19,person,(25-32),Male
45,704,219,64,182,person,(38-43),Male
45,823,216,76,181,person,(38-43),Male
45,590,209,52,152,person,(60-100),Female
45,677,208,37,143,person,(60-100),Male
46,708,219,69,184,person,(25-32),Male
46,822,216,69,181,person,(38-43),Male
46,586,208,59,151,person,(60-100),Female
46,678,208,37,142,person,(60-100),Male
47,822,214,70,185,person,(38-43),Male
47,711,218,67,183,person,(25-32),Male
47,588,208,58,151,person,(60-100),Female
47,678,208,38,143,person,(38-43),Male
48,827,213,74,181,person,(60-100),Male
48,713,220,68,182,person,(25-32),Male
48,588,208,58,153,person,(60-100),Female
48,678,208,39,142,person,(38-43),Male
49,833,212,60,186,person,(60-100),Male
49,719,217,84,179,person,(38-43),Male
49,590,208,52,152,person,(60-100),Female
49,679,208,39,142,person,(60-100),Male
50,830,215,62,182,person,(38-43),Male
50,719,217,85,182,person,(38-43),Male
50,590,207,51,153,person,(60-100),Female
50,678,208,38,142,person,(8-12),Male
51,591,208,51,153,person,(38-43),Male
51,714,222,93,167,person,(25-32),Male
51,828,217,54,178,person,(38-43),Male
51,677,208,39,143,person,(60-100),Male
52,721,225,82,165,person,(38-43),Male
52,587,208,59,153,person,(60-100),Female
52,679,208,38,146,person,(25-32),Male
52,830,217,52,177,person,(38-43),Male
52,845,200,45,165,person,(38-43),Male
52,844,177,43,120,person,(38-43),Male
53,720,225,83,165,person,(38-43),Male
53,587,207,60,153,person,(60-100),Female
53,830,217,54,177,person,(38-43),Male
53,680,208,40,147,person,(48-53),Male
53,846,180,44,124,person,(60-100),Male
